60Pin,50Pin,FPGA_Pin,Function,J9,,60Pin,50Pin,FPGA_Pin,Function,J9
1,50,5V,Power,,,2,49,5V,Power,
3,48,NC,,,,4,47,NC,,
5,38,GND,Power,2,,6,37,GND,Power,1
7,46,PIN_C15,Buzzer/BELL,,,8,45,PIN_B16,LED[7]/LED14,
9,44,PIN_D15,LED[6]/LED13,,,10,43,PIN_C16,LED[5]/LED9,
11,42,PIN_F15,LED[4]/LED8,,,12,41,PIN_D16,LED[3]/LED7,
13,40,PIN_G15,LED[2]/LED6,,,14,39,PIN_F16,LED[1]/LED5,
15,35,PIN_J13,LED[0]/LED4,,,16,36,PIN_T11,IO0,11
17,34,PIN_F14,IO1,11,,18,33,PIN_F13,LCDdat[7]/IO2,14
19,32,PIN_K16,IO3,13,,20,31,PIN_J14,LCDdat[6]/IO4,16
21,27,PIN_R11,IO5,15,,22,28,PIN_K15,LCDdat[5]/IO6,18
23,,NC,,,,24,25,PIN_E10,IO7,19
25,26,PIN_F9,LCDdat[4]/IO8,20,,26,23,PIN_L14,IO9,21
27,24,PIN_L13,LCDdat[3]/IO10,22,,28,,PIN_L16,IO11,23
29,19,PIN_L15,LCDdat[2]/IO12,24,,30,20,PIN_J15,rst/IO13,25
31,14,GND,Power,,,32,13,GND,Power,
33,17,PIN_N12,LCDdat[1]/IO14,26,,34,18,PIN_J16,resetbtn/IO15,27
35,16,PIN_N15,LCDdat[0]/IO16,28,,36,15,PIN_N16,IO17,29
37,12,PIN_N14,LCDen/IO18,30,,38,11,PIN_P16,IO19,31
39,10,PIN_P15,rw/LCDWR/IO20,32,,40,9,PIN_P14,IO21,33
41,8,PIN_T15,LCDrs/IO22,34,,42,7,PIN_R16,IO23,35
43,6,PIN_T14,cs/ADCS,,,44,5,PIN_R14,A2DData,
45,4,PIN_T13,ioclk/ADCLK,,,46,3,PIN_R13,da_data,
47,2,PIN_E16,row[2]/COL2,,,48,1,PIN_E15,row[1]/COL1,
49,,PIN_B9,SW6,,,50,,PIN_A9,COL0,
51,,PIN_A8,K14/SW4,,,52,,PIN_B8,K12/SW3,
53,,PIN_M15,K11/SW2,,,54,,PIN_M16,K10/SW1,
55,,GND,,40,,56,,GND,GND,39
57,,PIN_T12,DA-SCLK,,,58,,PIN_R12,DA-SYNC,
59,,NC,,,,60,,CLK_M1,IR_INPUT,
,22,GND,Power,,,,21,GND,Power,
,30,GND,Power,,,,29,GND,Power,
